Area;Type;B/S;Accnt;Product;Ctrct;Qty;Prc;BG;Txt;PQty;ValRes;ValDate;ExeRes
AMP;REG;S;P;Quarterly_Hour_Power;07Q1;0,6;;11XMVV---------5;VP[15368274]_SUNCAST;;GTD;20.08.2019 06:55:00;NON
TNG;REG;B;P;Quarterly_Hour_Power;07Q1;0,2;;11XMVV---------5;VP[15368275]_SUNCAST;;GTD;20.08.2019 06:55:00;NON
50HzT;REG;S;P;Quarterly_Hour_Power;07Q1;2,4;;11XMVV---------5;VP[15368276]_SUNCAST;;GTD;20.08.2019 06:55:00;NON
TTG;REG;S;P;Quarterly_Hour_Power;07Q1;0,2;;11XMVV---------5;VP[15368277]_SUNCAST;;GTD;20.08.2019 06:55:00;NON
TTG;REG;B;P;Quarterly_Hour_Power;07Q1;1,5;;11XMVV---------5;VP[15368278]_PREVIENTO;;GTD;20.08.2019 06:55:00;NON
TNG;REG;S;P;Quarterly_Hour_Power;07Q1;0,2;;11XMVV---------5;VP[15368279]_PREVIENTO;;GTD;20.08.2019 06:55:00;NON
AMP;REG;B;P;Quarterly_Hour_Power;07Q1;0,2;;11XMVV---------5;VP[15368280]_PREVIENTO;;GTD;20.08.2019 06:55:00;NON
50HzT;REG;B;P;Quarterly_Hour_Power;07Q1;2,8;;11XMVV---------5;VP[15368281]_PREVIENTO;;GTD;20.08.2019 06:55:00;NON
