"OT 2020-06-22"

"Trader Id";"TSO";"EIC";"B/S";"Product";"Contract";"Qty";"Prc";"Curr";"Act";"Text";"State";"Order No";"Trade No";"P/O";"Date/Time";"BG";"AggrInd";"Self"
"TRD001";"AMP";"10YDE-RWENET---I";"S";"Intraday_Quarter_Hour_Power";"20200622 10:15-20200622 10:30";1,0;11,20;"EUR";"P";"VSK";"ACTIVE";142546659;17695912;"O";"22.06.2020 09:44:55";"11X24-7-TRADINGX";"Y";"No"
"TRD001";"AMP";"10YDE-RWENET---I";"B";"Intraday_Quarter_Hour_Power";"20200622 17:00-20200622 17:15";1,0;62,20;"EUR";"P";"VSK";"ACTIVE";142578148;17703425;"O";"22.06.2020 16:29:55";"11X24-7-TRADINGX";"Y";"No"
"TRD001";"AMP";"10YDE-RWENET---I";"S";"Intraday_Quarter_Hour_Power";"20200622 17:15-20200622 17:30";1,0;3,95;"EUR";"P";"VSK";"ACTIVE";142584604;17704570;"O";"22.06.2020 16:44:55";"11X24-7-TRADINGX";"Y";"No"
"TRD001";"AMP";"10YDE-RWENET---I";"S";"Intraday_Quarter_Hour_Power";"20200622 17:15-20200622 17:30";0,5;2,61;"EUR";"P";"VSK";"ACTIVE";142584604;17704571;"O";"22.06.2020 16:44:55";"11X24-7-TRADINGX";"Y";"No"
"TRD001";"AMP";"10YDE-RWENET---I";"S";"Intraday_Quarter_Hour_Power";"20200622 17:15-20200622 17:30";6,2;2,38;"EUR";"P";"VSK";"ACTIVE";142584604;17704572;"O";"22.06.2020 16:44:55";"11X24-7-TRADINGX";"Y";"No"
