Area;Type;B/S;Accnt;Product;Ctrct;Qty;Prc;BG;Txt;PQty;ValRes;ValDate;ExeRes
AMP;REG;S;P;Quarterly_Hour_Power;19Q1;1,0;;11XMVV---------5;VP[15401656]_PREVIENTO;;GTD;22.08.2019 18:55:00;NON
TTG;REG;S;P;Quarterly_Hour_Power;19Q1;2,0;;11XMVV---------5;VP[15401657]_PREVIENTO;;GTD;22.08.2019 18:55:00;NON
TNG;REG;B;P;Quarterly_Hour_Power;19Q1;1,4;;11XMVV---------5;VP[15401658]_PREVIENTO;;GTD;22.08.2019 18:55:00;NON
50HzT;REG;S;P;Quarterly_Hour_Power;19Q1;1,8;;11XMVV---------5;VP[15401659]_PREVIENTO;;GTD;22.08.2019 18:55:00;NON
AMP;REG;S;P;Quarterly_Hour_Power;19Q1;0,6;;11XMVV---------5;VP[15401660]_SUNCAST;;GTD;22.08.2019 18:55:00;NON
50HzT;REG;B;P;Quarterly_Hour_Power;19Q1;3,5;;11XMVV---------5;VP[15401661]_SUNCAST;;GTD;22.08.2019 18:55:00;NON
TNG;REG;S;P;Quarterly_Hour_Power;19Q1;0,4;;11XMVV---------5;VP[15401662]_SUNCAST;;GTD;22.08.2019 18:55:00;NON
TTG;REG;B;P;Quarterly_Hour_Power;19Q1;0,9;;11XMVV---------5;VP[15401663]_SUNCAST;;GTD;22.08.2019 18:55:00;NON
