Area;Type;B/S;Accnt;Product;Ctrct;Qty;Prc;BG;Txt;PQty;ValRes;ValDate;ExeRes
AMP;REG;B;P;Quarterly_Hour_Power;13Q3;2,3;;11XMVV---------5;VP[15377804]_PREVIENTO;;GTD;20.08.2019 13:25:00;NON
TNG;REG;S;P;Quarterly_Hour_Power;13Q3;0,2;;11XMVV---------5;VP[15377805]_PREVIENTO;;GTD;20.08.2019 13:25:00;NON
TTG;REG;B;P;Quarterly_Hour_Power;13Q3;1,4;;11XMVV---------5;VP[15377806]_PREVIENTO;;GTD;20.08.2019 13:25:00;NON
50HzT;REG;S;P;Quarterly_Hour_Power;13Q3;2,8;;11XMVV---------5;VP[15377807]_PREVIENTO;;GTD;20.08.2019 13:25:00;NON
TTG;REG;B;P;Quarterly_Hour_Power;13Q3;3,0;;11XMVV---------5;VP[15377808]_SUNCAST;;GTD;20.08.2019 13:25:00;NON
TNG;REG;S;P;Quarterly_Hour_Power;13Q3;0,5;;11XMVV---------5;VP[15377809]_SUNCAST;;GTD;20.08.2019 13:25:00;NON
50HzT;REG;B;P;Quarterly_Hour_Power;13Q3;15,3;;11XMVV---------5;VP[15377810]_SUNCAST;;GTD;20.08.2019 13:25:00;NON
AMP;REG;S;P;Quarterly_Hour_Power;13Q3;2,6;;11XMVV---------5;VP[15377811]_SUNCAST;;GTD;20.08.2019 13:25:00;NON
