Area;Type;B/S;Accnt;Product;Ctrct;Qty;Prc;BG;Txt;PQty;ValRes;ValDate;ExeRes
TTG;REG;B;P;Quarterly_Hour_Power;T00Q1;0,3;;11XMVV---------5;VP[21198520]_PREVIENTO;;GTD;09.12.2020 23:55:00;NON
TNG;REG;B;P;Quarterly_Hour_Power;T00Q1;0,2;;11XMVV---------5;VP[21198521]_PREVIENTO;;GTD;09.12.2020 23:55:00;NON
AMP;REG;B;P;Quarterly_Hour_Power;T00Q1;0,6;;11XMVV---------5;VP[21198522]_PREVIENTO;;GTD;09.12.2020 23:55:00;NON
50HzT;REG;B;P;Quarterly_Hour_Power;T00Q1;0,3;;11XMVV---------5;VP[21198524]_PREVIENTO;;GTD;09.12.2020 23:55:00;NON
